2026-09-01 08:00:15, ГПА-10-01, Температура подшипника компрессора, 72.4, 85.0, INFO
2026-09-01 08:05:22, ГПА-10-01, Давление газа на входе, 4.1, 3.5, INFO
2026-09-01 08:10:00, ГПА-10-01, Обороты ротора ТНД, 8200.0, 9000.0, INFO
2026-09-01 08:15:30, ГПА-10-01, Ток статора нагнетателя, 145.0, 180.0, INFO
2026-09-01 08:20:12, ГПА-10-02, Вибрация турбины, 4.2, 10.0, INFO
2026-09-01 08:25:45, ГПА-10-02, Температура масла на выходе, 61.2, 75.0, INFO
2026-09-01 08:30:01, ГПА-10-01, Напор топливного газа, 2.4, 3.0, INFO
2026-09-01 08:45:18, ГПА-10-01, Перепад давления на фильтре воздуха, 120.0, 150.0, INFO
2026-09-01 08:55:00, ГПА-10-02, Обороты силовой турбины, 7900.0, 8500.0, INFO
2026-09-01 09:10:22, ГПА-10-01, Температура подшипника компрессора, 73.1, 85.0, INFO
2026-09-01 09:20:44, ГПА-10-01, Давление масла в системе уплотнения, 0.45, 0.3, INFO
2026-09-01 09:35:12, ГПА-10-02, Вибрация нагнетателя, 3.1, 8.0, INFO
2026-09-01 09:40:05, ГПА-10-02, Давление в контуре уплотнения, 5.4, 6.0, INFO
2026-09-01 09:55:30, ГПА-10-01, Температура масла на входе, 42.5, 55.0, INFO
2026-09-01 10:15:00, ГПА-10-01, Уровень масла в расходном баке, 65.0, 40.0, INFO
2026-09-01 10:25:14, ГПА-10-02, Осевой сдвиг вала ТВД, 0.15, 0.5, INFO
2026-09-01 10:40:11, ГПА-10-01, Давление газа на выходе, 7.2, 8.5, INFO
2026-09-01 10:50:33, ГПА-10-01, Вибрация заднего подшипника ТВД, 4.2, 6.0, INFO
2026-09-01 11:12:19, ГПА-10-01, Давление газа на входе, 3.9, 3.5, INFO
2026-09-01 11:35:40, ГПА-10-02, Вибрация турбины, 5.8, 10.0, INFO
2026-09-01 11:55:02, ГПА-10-01, Температура подшипника компрессора, 75.1, 85.0, INFO
2026-09-01 12:15:20, ГПА-10-01, Обороты ротора ТНД, 8250.0, 9000.0, INFO
2026-09-01 12:40:05, ГПА-10-02, Температура масла на выходе, 63.8, 75.0, INFO
2026-09-01 13:10:55, ГПА-10-01, Ток статора нагнетателя, 147.0, 180.0, INFO
2026-09-01 13:30:12, ГПА-10-01, Напор топливного газа, 2.5, 3.0, INFO
2026-09-01 13:55:40, ГПА-10-02, Вибрация турбины, 7.2, 10.0, WARNING
2026-09-01 14:15:18, ГПА-10-02, Температура подшипника компрессора, 76.4, 85.0, WARNING
2026-09-01 14:35:00, ГПА-10-01, Перепад давления на фильтре воздуха, 125.0, 150.0, INFO
2026-09-01 15:10:22, ГПА-10-01, Температура подшипника компрессора, 76.8, 85.0, INFO
2026-09-01 15:35:44, ГПА-10-02, Давление в контуре уплотнения, 5.1, 6.0, WARNING
2026-09-01 16:05:00, ГПА-10-01, Уровень масла в расходном баке, 61.0, 40.0, INFO
2026-09-01 16:20:15, ГПА-10-02, Вибрация турбины, 11.2, 10.0, CRITICAL
2026-09-01 16:45:11, ГПА-10-01, Давление газа на выходе, 7.4, 8.5, INFO
2026-09-01 17:10:33, ГПА-10-01, Вибрация заднего подшипника ТВД, 4.5, 6.0, INFO
2026-09-01 17:35:40, ГПА-10-02, Вибрация турбины, 9.8, 10.0, WARNING
2026-09-01 17:55:02, ГПА-10-01, Температура подшипника компрессора, 81.3, 85.0, WARNING
2026-09-01 18:15:20, ГПА-10-01, Обороты ротора ТНД, 8400.0, 9000.0, INFO
2026-09-01 18:40:05, ГПА-10-02, Температура масла на выходе, 69.5, 75.0, WARNING
2026-09-01 19:05:12, ГПА-10-01, Давление газа на входе, 3.6, 3.5, WARNING
2026-09-01 19:20:30, ГПА-10-01, Ток статора нагнетателя, 155.0, 180.0, INFO
2026-09-01 19:35:11, ГПА-10-01, Напор топливного газа, 2.3, 3.0, WARNING
2026-09-01 19:45:00, ГПА-10-02, Уровень масла в расходном баке, 42.0, 40.0, WARNING
2026-09-01 19:50:18, ГПА-10-01, Перепад давления на фильтре воздуха, 132.0, 150.0, INFO
2026-09-01 19:55:02, ГПА-10-01, Температура подшипника компрессора, 84.6, 85.0, WARNING
2026-09-01 20:00:01, ГПА-10-01, Давление масла, 0.31, 0.3, WARNING
2026-09-01 20:01:10, ГПА-10-01, Осевой сдвиг вала, 0.6, 0.5, CRITICAL
2026-09-01 20:02:15, ГПА-10-01, Температура выхлопных газов, 420.0, 400.0, CRITICAL
2026-09-01 20:03:00, ГПА-10-01, Вибрация нагнетателя, 14.2, 12.0, CRITICAL
2026-09-01 20:05:12, ГПА-10-01, Контроллер АСУ ТП: Зафиксирован останов ГПА по защите ПАЗ, 0.0, 0.0, CRITICAL
2026-09-01 20:10:00, ГПА-10-02, Контроллер АСУ ТП: Перевод смежного узла в режим ожидания, 0.0, 0.0, INFO

